,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,26.0,10,0.0003223000094294548,"[0, 3, 1, 0, 2, 3, 2, 3, 0, 3, 2, 1, 3, 3, 1, 3, 3, 3, 2, 0, 0, 0, 1, 3, 3, 2, 0, 2, 3, 3, 3, 2, 2, 1, 2, 0, 3, 3, 1, 0, 0, 2, 2, 3, 3, 1, 3, 2, 0, 0]",True,10,0.05,1000
1,10,59.0,121,0.0822770000086166,"[1.0, 2.0, 3.0, 0.0, 1.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 3.0, 3.0, 3.0, 3.0, 0.0, 3.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0.0, 3.0, 0.0, 1.0]",True,10,0.05,1000
2,257,59.0,2838,2.005386599979829,"[1.0, 2.0, 3.0, 0.0, 1.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 3.0, 3.0, 3.0, 3.0, 0.0, 3.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0.0, 3.0, 0.0, 1.0]",True,10,0.05,1000
3,505,59.0,5522,3.9129384999978356,"[1.0, 2.0, 3.0, 0.0, 1.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 3.0, 3.0, 3.0, 3.0, 0.0, 3.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0.0, 3.0, 0.0, 1.0]",True,10,0.05,1000
4,752,59.0,5522,3.9129384999978356,"[1.0, 2.0, 3.0, 0.0, 1.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 3.0, 3.0, 3.0, 3.0, 0.0, 3.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0.0, 3.0, 0.0, 1.0]",True,10,0.05,1000
5,1000,59.0,5522,3.9129384999978356,"[1.0, 2.0, 3.0, 0.0, 1.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 3.0, 3.0, 3.0, 3.0, 0.0, 3.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0.0, 3.0, 0.0, 1.0]",True,10,0.05,1000
6,0,26.0,10,0.00030100002186372876,"[0, 3, 1, 0, 2, 3, 2, 3, 0, 3, 2, 1, 3, 3, 1, 3, 3, 3, 2, 0, 0, 0, 1, 3, 3, 2, 0, 2, 3, 3, 3, 2, 2, 1, 2, 0, 3, 3, 1, 0, 0, 2, 2, 3, 3, 1, 3, 2, 0, 0]",True,10,0.1,1000
7,10,59.0,121,0.08246870001312345,"[1.0, 2.0, 3.0, 0.0, 1.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 3.0, 3.0, 3.0, 3.0, 0.0, 3.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0.0, 3.0, 0.0, 1.0]",True,10,0.1,1000
8,257,59.0,2838,2.0013039000332355,"[1.0, 2.0, 3.0, 0.0, 1.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 3.0, 3.0, 3.0, 3.0, 0.0, 3.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0.0, 3.0, 0.0, 1.0]",True,10,0.1,1000
9,505,59.0,5522,3.90795290004462,"[1.0, 2.0, 3.0, 0.0, 1.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 3.0, 3.0, 3.0, 3.0, 0.0, 3.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0.0, 3.0, 0.0, 1.0]",True,10,0.1,1000
10,752,59.0,5522,3.90795290004462,"[1.0, 2.0, 3.0, 0.0, 1.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 3.0, 3.0, 3.0, 3.0, 0.0, 3.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0.0, 3.0, 0.0, 1.0]",True,10,0.1,1000
11,1000,59.0,5522,3.90795290004462,"[1.0, 2.0, 3.0, 0.0, 1.0, 2.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 3.0, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 3.0, 3.0, 3.0, 3.0, 0.0, 3.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0.0, 3.0, 0.0, 1.0]",True,10,0.1,1000
